id_n,weight,Year,GROSS_INCOME,CONS_Food1,CONS_Food2,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
59404,70.49,2015,82900.00195,431.08,0,0,4900,0,0,3690,150,2880,8620,0,0,3456,24127.079999200003,23696,5172.96
50103,69.79,2015,66361.20703199999,421.87,0,0,1500,3000,9718.8,9839,17876,51600,3410.0000004000003,0,0,3766.7999999999997,101132.47,100710.6,5062.4400000000005
55311,69.82,2015,19383.360348000002,415.17,0,0,2940,1715.092337,2880,50,3840,1440,99.99999999600001,19.99999952,2400,3408,19208.262336323998,18793.09234,4982.04
43714,60.62,2015,407.38893132000004,412.13,0,0,0,600,132,216,0,960,0,0,690,4896,7906.13,7494,4945.5599999999995
33203,70.08,2015,53082.42187,362.1,0,0,0,2850,0,600,1152,2400,0,410.00001528000007,3192,336,11302.10002,10940.00002,4345.200000000001
41106,21.34,2015,55383.35742,508.3027764,0,0,2300.0000004000003,2880,0,0,0,1440,0,99.99999617999998,720,4128,12076.302772980001,11567.999996580002,6099.633317
55411,47.9,2015,8248.959961,415.17,0,0,8000.000000399999,0,1500,0,0,0,960,0,0,0,10875.17,10460,4982.04
4209,71.66,2015,37092,356.53,0,0,5800,12515.656968000001,3039.9999995999997,96,2352,2640,0,4320,300,8220,39640.18697,39283.656967200004,4278.36
44914,101.66,2015,14352.03809,688.5298897,0,0,0,240,0,0,0,0,0,29.999999279999997,0,0,958.529889,269.9999993,8262.358676
39914,82.68,2015,239284.3594,1266.55,0,0,21630.8,18005.64636,2349.6000000000004,912,26700,6000,0,7480.0001219999995,644.3999863,3045.6000000000004,88034.59647232002,86768.04647232001,15198.599999999999
11411,145.83,2015,36100.44433,693.3140207,0,465.1488,0,3600,0,30,720,1200,0,30,0,0,6738.462821,6045.1488,8319.768248
20814,98.42,2015,21782.4126,455.15,0,0,300,4440,790.8000000000001,108,4992,4104,0,2010,0,3406.7999999999997,20606.75,20151.6,5461.799999999999
37305,69.79,2015,600000,389.57,0,10748.16,0,10800,0,1000.0000305600001,155.0000038,4800,21936,0,3352.800018,0,53181.53005,52791.96005,4674.84
31010,87.66,2015,18196.816403999997,431.16,0,12403.968,2754.9999995999997,0,7.199999999999999,162,2376,0,0,731.0000124,240,11688,30794.32801,30363.168012000002,5173.92
59406,70.49,2015,51143.36132,539.8533522,0,0,8500,31126.385051999998,0,1005,15804,960,3879.9999995999997,395.00001528000007,0,1440,63650.23841867999,63110.38506647999,6478.240226
25015,66.39,2015,117491.00390400001,382.68,0,0,9000,799.9999694399999,300,3500.0000004000003,9795.000004,8468.57135,0,0,0,14400,46646.25132,46263.57132,4592.16
15514,149.19,2015,36455.63965,434.35,0,0,0,2700,0,0,720,960,0,217.99999235999996,0,648,5680.349992,5245.999992,5212.200000000001
1212,77.62,2015,24947.806643999997,356.53,0,0,6999.999999600001,960,0,0,35830,3840,10100,0,588,4942.799999999999,63617.33,63260.8,4278.36
50809,90.39,2015,38335.23925,421.87,0,0,0,0,0,0,0,672,0,0,1152,0,2245.87,1824,5062.4400000000005
53408,86.97,2015,12373.154292000001,439.34,0,0,0,0,0,0,0,0,0,0,0,0,439.34,0,5272.08
4602,84.14,2015,93784.35937,422.9932726,0,0,6600,1800,0,0,6720,1200,450,1375.0000307999999,744,0,19311.993303400002,18889.00003,5075.919271
4408,75.57,2015,6000,356.53,0,0,1600,600,1776,0,0,1800,0,0,0,15072,21204.53,20848,4278.36
9414,77.21,2015,242499.3516,557,0,0,19000,4800,9800.8,1078.8000000000002,14555,10800,5160,9105,3789.5999448000002,4869.6,83515.79994,82958.79994,6684
39204,77.04,2015,14542.07959,572.93,0,0,0,3399.999985,0,1473.9999996000001,0,4800,0,1890.999985,0,360,12497.929970000001,11924.99997,6875.16
21805,84.07,2015,83800.00195,308.06,0,0,7500,2400,2381.6000003999998,0,14799.999983999998,2400,0,0,924,10123.2,40836.85998,40528.79998,3696.7200000000003
15608,57.75,2015,25010.337888000002,465.6104355,0,3178.5168,1000,1440,0,0,2400,2400,0,1320,0,0,12204.12724,11738.5168,5587.325226
3602,74.91,2015,16748.720220000003,505.15,0,3788.184,1251.9999996000001,1464,286.79999999999995,0,336,5760,3500.0000004000003,6079.999969,1440,600,25012.133969200004,24506.983969200002,6061.799999999999
35011,80.85,2015,18121.99951,661.2359627,0,0,2799.9999995999997,0,120,0,2400,480,630,0,552,240,7883.235962299999,7222,7934.831552399999
