,weight_2022,vatax_2022,CONS_Total_2022,weight_ref_2022,vatax_ref_2022,CONS_Total_ref_2022,weight_ref_2023,vatax_ref_2023,CONS_Total_ref_2023,weight_ref_2024,vatax_ref_2024,CONS_Total_ref_2024,weight_ref_2025,vatax_ref_2025,CONS_Total_ref_2025,weight_ref_2026,vatax_ref_2026,CONS_Total_ref_2026,weight_ref_2027,vatax_ref_2027,CONS_Total_ref_2027,weight_ref_2028,vatax_ref_2028,CONS_Total_ref_2028,weight_ref_2029,vatax_ref_2029,CONS_Total_ref_2029,weight_ref_2030,vatax_ref_2030,CONS_Total_ref_2030,weight_ref_2031,vatax_ref_2031,CONS_Total_ref_2031,weight_ref_2032,vatax_ref_2032,CONS_Total_ref_2032,ETR,ETR_ref
30,"466,404.3715","5,601.0000","93,242.0000","466,404.3715","5,601.0000","93,242.0000","501,132.0260","6,804.0000","113,279.0000","496,114.4577","7,504.0000","124,930.0000","496,114.4577","8,255.0000","137,423.0000","496,114.4577","9,396.0000","156,428.0000","496,114.4577","10,431.0000","173,651.0000","496,114.4577","11,475.0000","191,033.0000","496,114.4577","12,803.0000","213,136.0000","496,114.4577","14,320.0000","238,392.0000","496,114.4577","16,017.0000","266,642.0000","496,114.4577","17,915.0000","298,239.0000",0.0601,0.0601
31,"461,898.3547","5,537.0000","93,668.0000","461,898.3547","5,537.0000","93,668.0000","496,290.4991","6,727.0000","113,797.0000","491,321.4063","7,419.0000","125,500.0000","491,321.4063","8,161.0000","138,050.0000","491,321.4063","9,290.0000","157,142.0000","491,321.4063","10,312.0000","174,444.0000","491,321.4063","11,345.0000","191,906.0000","491,321.4063","12,657.0000","214,109.0000","491,321.4063","14,157.0000","239,481.0000","491,321.4063","15,835.0000","267,860.0000","491,321.4063","17,711.0000","299,601.0000",0.0591,0.0591
32,"465,511.0648","5,792.0000","95,950.0000","465,511.0648","5,792.0000","95,950.0000","500,172.2053","7,037.0000","116,569.0000","495,164.2471","7,761.0000","128,558.0000","495,164.2471","8,537.0000","141,413.0000","495,164.2471","9,717.0000","160,971.0000","495,164.2471","10,787.0000","178,694.0000","495,164.2471","11,867.0000","196,581.0000","495,164.2471","13,240.0000","219,325.0000","495,164.2471","14,809.0000","245,316.0000","495,164.2471","16,564.0000","274,385.0000","495,164.2471","18,526.0000","306,900.0000",0.0604,0.0604
33,"463,359.9091","5,655.0000","96,888.0000","463,359.9091","5,655.0000","96,888.0000","497,860.8783","6,870.0000","117,709.0000","492,876.0622","7,577.0000","129,814.0000","492,876.0622","8,335.0000","142,796.0000","492,876.0622","9,487.0000","162,545.0000","492,876.0622","10,532.0000","180,441.0000","492,876.0622","11,586.0000","198,503.0000","492,876.0622","12,927.0000","221,470.0000","492,876.0622","14,459.0000","247,714.0000","492,876.0622","16,172.0000","277,068.0000","492,876.0622","18,088.0000","309,900.0000",0.0584,0.0584
34,"463,053.5610","5,776.0000","98,357.0000","463,053.5610","5,776.0000","98,357.0000","497,531.7201","7,017.0000","119,493.0000","492,550.1996","7,738.0000","131,783.0000","492,550.1996","8,512.0000","144,961.0000","492,550.1996","9,690.0000","165,009.0000","492,550.1996","10,756.0000","183,177.0000","492,550.1996","11,833.0000","201,513.0000","492,550.1996","13,202.0000","224,828.0000","492,550.1996","14,767.0000","251,470.0000","492,550.1996","16,516.0000","281,269.0000","492,550.1996","18,474.0000","314,599.0000",0.0587,0.0587
35,"464,471.2068","5,769.0000","100,143.0000","464,471.2068","5,769.0000","100,143.0000","499,054.9212","7,009.0000","121,662.0000","494,058.1498","7,730.0000","134,175.0000","494,058.1498","8,503.0000","147,592.0000","494,058.1498","9,679.0000","168,004.0000","494,058.1498","10,745.0000","186,502.0000","494,058.1498","11,820.0000","205,170.0000","494,058.1498","13,188.0000","228,909.0000","494,058.1498","14,751.0000","256,034.0000","494,058.1498","16,499.0000","286,374.0000","494,058.1498","18,454.0000","320,310.0000",0.0576,0.0576
36,"463,211.5128","5,914.0000","101,209.0000","463,211.5128","5,914.0000","101,209.0000","497,701.4327","7,185.0000","122,958.0000","492,718.2130","7,924.0000","135,604.0000","492,718.2130","8,716.0000","149,164.0000","492,718.2130","9,922.0000","169,794.0000","492,718.2130","11,014.0000","188,488.0000","492,718.2130","12,116.0000","207,356.0000","492,718.2130","13,518.0000","231,347.0000","492,718.2130","15,120.0000","258,761.0000","492,718.2130","16,912.0000","289,425.0000","492,718.2130","18,916.0000","323,721.0000",0.0584,0.0584
37,"464,150.5480","6,308.0000","102,928.0000","464,150.5480","6,308.0000","102,928.0000","498,710.3867","7,663.0000","125,047.0000","493,717.0650","8,452.0000","137,907.0000","493,717.0650","9,297.0000","151,698.0000","493,717.0650","10,582.0000","172,678.0000","493,717.0650","11,748.0000","191,690.0000","493,717.0650","12,923.0000","210,878.0000","493,717.0650","14,419.0000","235,277.0000","493,717.0650","16,127.0000","263,157.0000","493,717.0650","18,038.0000","294,341.0000","493,717.0650","20,176.0000","329,220.0000",0.0613,0.0613
38,"461,630.5875","6,348.0000","103,902.0000","461,630.5875","6,348.0000","103,902.0000","496,002.7944","7,712.0000","126,230.0000","491,036.5823","8,505.0000","139,212.0000","491,036.5823","9,356.0000","153,133.0000","491,036.5823","10,649.0000","174,312.0000","491,036.5823","11,822.0000","193,504.0000","491,036.5823","13,005.0000","212,873.0000","491,036.5823","14,510.0000","237,503.0000","491,036.5823","16,229.0000","265,647.0000","491,036.5823","18,153.0000","297,126.0000","491,036.5823","20,304.0000","332,335.0000",0.0611,0.0611
39,"462,036.8608","6,221.0000","105,562.0000","462,036.8608","6,221.0000","105,562.0000","496,439.3181","7,557.0000","128,246.0000","491,468.7354","8,335.0000","141,435.0000","491,468.7354","9,168.0000","155,579.0000","491,468.7354","10,436.0000","177,095.0000","491,468.7354","11,585.0000","196,594.0000","491,468.7354","12,745.0000","216,273.0000","491,468.7354","14,219.0000","241,295.0000","491,468.7354","15,904.0000","269,889.0000","491,468.7354","17,789.0000","301,871.0000","491,468.7354","19,897.0000","337,642.0000",0.0589,0.0589
40,"465,128.7736","6,506.0000","108,048.0000","465,128.7736","6,506.0000","108,048.0000","499,761.4493","7,904.0000","131,266.0000","494,757.6038","8,717.0000","144,767.0000","494,757.6038","9,589.0000","159,243.0000","494,757.6038","10,915.0000","181,267.0000","494,757.6038","12,117.0000","201,224.0000","494,757.6038","13,330.0000","221,367.0000","494,757.6038","14,872.0000","246,979.0000","494,757.6038","16,634.0000","276,246.0000","494,757.6038","18,605.0000","308,981.0000","494,757.6038","20,810.0000","345,595.0000",0.0602,0.0602
