,weight,CONS_Total,vatax,table_row
8836,814.1182794629115,196517.7748660031,15103.201991928683,2
10803,1079.7404360090336,196567.38479549874,5794.212415334514,2
9275,5442.816405570072,197046.1652724807,12843.398287440714,2
5732,4547.623343457116,197299.7832170569,9680.123845052818,2
11533,4800.8665280564455,197307.7660771474,12154.050409645792,2
7926,3272.1324122540395,197933.71352658005,8291.86801555982,2
13130,2305.327641308141,198009.87981224433,3190.540268695958,2
5434,4547.623721098905,198110.93611436707,9661.963036325222,2
6187,4547.623721098905,198544.96255650697,8196.287041406764,2
11776,4800.865898653466,198602.66414705047,10626.793449736571,2
2803,6939.214439708846,198991.4429725993,8798.184482387021,2
7875,3272.132160492847,199230.756246521,10904.605084972362,2
795,2307.802957351234,199338.27396001108,4748.240363306932,2
9246,1640.3388453222326,199610.10207966703,9581.435005792457,2
1109,598.8519238057842,199780.99564132188,8800.300864853894,2
6887,4547.623343457116,200312.96400533686,6965.315003481552,2
11535,4800.8665280564455,200341.08650099786,10685.894904084927,2
9444,5442.816405570072,200873.24650579566,13938.025216468242,2
9900,5442.816405570072,200960.96630193279,10529.53164456389,2
11763,4800.8665280564455,201263.8881076009,10177.539842702097,2
6161,1324.229128667104,201477.19451658154,17937.56116986142,2
11093,4800.8665280564455,201552.27076915916,9153.422918264501,2
13557,517.7007819861022,201710.19311607015,3029.9843016147042,2
909,2307.8033349930224,201735.76146195334,8685.020558596716,3
13256,2305.327641308141,202015.144641324,8264.154506180721,3
8473,3272.1324122540395,202145.68549748437,2581.991603329807,3
8948,3272.1324122540395,202149.90780955565,12169.460398674702,3
8655,814.1182794629115,203020.89802611558,8859.3270556387,3
13112,2305.327641308141,203119.76161612914,2841.5035125244935,3
8988,3272.132160492847,203304.70210662484,14359.624574066751,3
7814,3272.1324122540395,203415.9749751491,7368.558013229476,3
10212,1640.3389712028288,203433.00385694727,11695.757579778561,3
1291,2307.802957351234,203530.28883909894,8277.00488641052,3
10224,1640.3389712028288,203644.50247012125,11029.679777032205,3
7676,3272.1324122540395,203756.51992610702,10930.399491904598,3
13126,2305.327641308141,203948.41228607495,3158.985690204647,3
8696,3272.132160492847,204013.79278344422,14526.836007441125,3
7815,3272.1324122540395,204219.9826639173,6737.648688343955,3
12186,1090.7787796066118,204743.37753288294,12154.359449006148,3
11539,4800.8665280564455,204920.15619928145,9276.777452199662,3
11034,1079.74056188963,205045.40082195087,15571.110722327227,3
13127,2305.327641308141,207105.83004691356,2807.9851025022335,3
10824,4800.8665280564455,207593.62253800282,10636.710284379176,3
11572,1079.7404360090336,207731.0597803542,12355.779915265506,3
9284,5442.816405570072,207751.68986468393,16640.347481184093,3
5556,4547.623343457116,208039.92933634575,14732.021347842325,3
