field_name,long_name,description,itr_ref,notes,row_var,row_label,start_year,cpi_inflatable,cpi_inflated,col_var,col_label,boolean_value,integer_value,value,benchmark,range,min,max,out_of_range_minmsg,out_of_range_maxmsg,out_of_range_action
_rate_household_equipment,VAT for consumption of _rate_household_equipment,VAT for consumption of _rate_household_equipment,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_household_equipment_curr_law,VAT for consumption of _rate_household_equipment_curr_law,VAT for consumption of _rate_household_equipment_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_household_gardening,VAT for consumption of _rate_household_gardening,VAT for consumption of _rate_household_gardening,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_household_gardening_curr_law,VAT for consumption of _rate_household_gardening_curr_law,VAT for consumption of _rate_household_gardening_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_household_goods,VAT for consumption of _rate_household_goods,VAT for consumption of _rate_household_goods,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.08,0.15,,0,1.0,,,stop
_rate_household_goods_curr_law,VAT for consumption of _rate_household_goods_curr_law,VAT for consumption of _rate_household_goods_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.08,0.15,,0,1.0,,,stop
_rate_household_items,VAT for consumption of _rate_household_items,VAT for consumption of _rate_household_items,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_household_items_curr_law,VAT for consumption of _rate_household_items_curr_law,VAT for consumption of _rate_household_items_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_household_repair_services,VAT for consumption of _rate_household_repair_services,VAT for consumption of _rate_household_repair_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.12,0.15,,0,1.0,,,stop
_rate_household_repair_services_curr_law,VAT for consumption of _rate_household_repair_services_curr_law,VAT for consumption of _rate_household_repair_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.12,0.15,,0,1.0,,,stop
_rate_household_services,VAT for consumption of _rate_household_services,VAT for consumption of _rate_household_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_household_services_curr_law,VAT for consumption of _rate_household_services_curr_law,VAT for consumption of _rate_household_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_household_utensils,VAT for consumption of _rate_household_utensils,VAT for consumption of _rate_household_utensils,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_household_utensils_curr_law,VAT for consumption of _rate_household_utensils_curr_law,VAT for consumption of _rate_household_utensils_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_interest,VAT for consumption of _rate_interest,VAT for consumption of _rate_interest,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_interest_curr_law,VAT for consumption of _rate_interest_curr_law,VAT for consumption of _rate_interest_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_jewellery,VAT for consumption of _rate_jewellery,VAT for consumption of _rate_jewellery,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_jewellery_curr_law,VAT for consumption of _rate_jewellery_curr_law,VAT for consumption of _rate_jewellery_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_legal_services,VAT for consumption of _rate_legal_services,VAT for consumption of _rate_legal_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.06,0.15,,0,1.0,,,stop
_rate_legal_services_curr_law,VAT for consumption of _rate_legal_services_curr_law,VAT for consumption of _rate_legal_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.06,0.15,,0,1.0,,,stop
_rate_medical_accessories,VAT for consumption of _rate_medical_accessories,VAT for consumption of _rate_medical_accessories,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_medical_accessories_curr_law,VAT for consumption of _rate_medical_accessories_curr_law,VAT for consumption of _rate_medical_accessories_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_medical_life_saving,VAT for consumption of _rate_medical_life_saving,VAT for consumption of _rate_medical_life_saving,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_medical_life_saving_curr_law,VAT for consumption of _rate_medical_life_saving_curr_law,VAT for consumption of _rate_medical_life_saving_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_motor_vehicle_four_wheeler,VAT for consumption of _rate_motor_vehicle_four_wheeler,VAT for consumption of _rate_motor_vehicle_four_wheeler,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_motor_vehicle_four_wheeler_curr_law,VAT for consumption of _rate_motor_vehicle_four_wheeler_curr_law,VAT for consumption of _rate_motor_vehicle_four_wheeler_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_motor_vehicle_two_wheeler,VAT for consumption of _rate_motor_vehicle_two_wheeler,VAT for consumption of _rate_motor_vehicle_two_wheeler,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_motor_vehicle_two_wheeler_curr_law,VAT for consumption of _rate_motor_vehicle_two_wheeler_curr_law,VAT for consumption of _rate_motor_vehicle_two_wheeler_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_non_motorized_vehicle,VAT for consumption of _rate_non_motorized_vehicle,VAT for consumption of _rate_non_motorized_vehicle,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.12,0.15,,0,1.0,,,stop
_rate_non_motorized_vehicle_curr_law,VAT for consumption of _rate_non_motorized_vehicle_curr_law,VAT for consumption of _rate_non_motorized_vehicle_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.12,0.15,,0,1.0,,,stop
_rate_other_services,VAT for consumption of _rate_other_services,VAT for consumption of _rate_other_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.03,0.15,,0,1.0,,,stop
_rate_other_services_curr_law,VAT for consumption of _rate_other_services_curr_law,VAT for consumption of _rate_other_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.03,0.15,,0,1.0,,,stop
_rate_personal_accessories,VAT for consumption of _rate_personal_accessories,VAT for consumption of _rate_personal_accessories,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.14,0.15,,0,1.0,,,stop
_rate_personal_accessories_curr_law,VAT for consumption of _rate_personal_accessories_curr_law,VAT for consumption of _rate_personal_accessories_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.14,0.15,,0,1.0,,,stop
_rate_personal_accessories_services,VAT for consumption of _rate_personal_accessories_services,VAT for consumption of _rate_personal_accessories_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_personal_accessories_services_curr_law,VAT for consumption of _rate_personal_accessories_services_curr_law,VAT for consumption of _rate_personal_accessories_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_personal_expenses_religious,VAT for consumption of _rate_personal_expenses_religious,VAT for consumption of _rate_personal_expenses_religious,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_personal_expenses_religious_curr_law,VAT for consumption of _rate_personal_expenses_religious_curr_law,VAT for consumption of _rate_personal_expenses_religious_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_personal_products,VAT for consumption of _rate_personal_products,VAT for consumption of _rate_personal_products,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_personal_products_curr_law,VAT for consumption of _rate_personal_products_curr_law,VAT for consumption of _rate_personal_products_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_personal_services,VAT for consumption of _rate_personal_services,VAT for consumption of _rate_personal_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_personal_services_curr_law,VAT for consumption of _rate_personal_services_curr_law,VAT for consumption of _rate_personal_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_recreation,VAT for consumption of _rate_recreation,VAT for consumption of _rate_recreation,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_recreation_curr_law,VAT for consumption of _rate_recreation_curr_law,VAT for consumption of _rate_recreation_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_religious_services,VAT for consumption of _rate_religious_services,VAT for consumption of _rate_religious_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_religious_services_curr_law,VAT for consumption of _rate_religious_services_curr_law,VAT for consumption of _rate_religious_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_rent,VAT for consumption of _rate_rent,VAT for consumption of _rate_rent,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_rent_curr_law,VAT for consumption of _rate_rent_curr_law,VAT for consumption of _rate_rent_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_restaurant,VAT for consumption of _rate_restaurant,VAT for consumption of _rate_restaurant,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_restaurant_curr_law,VAT for consumption of _rate_restaurant_curr_law,VAT for consumption of _rate_restaurant_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_sports_recreation_services,VAT for consumption of _rate_sports_recreation_services,VAT for consumption of _rate_sports_recreation_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.12,0.15,,0,1.0,,,stop
_rate_sports_recreation_services_curr_law,VAT for consumption of _rate_sports_recreation_services_curr_law,VAT for consumption of _rate_sports_recreation_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.12,0.15,,0,1.0,,,stop
_rate_stationery,VAT for consumption of _rate_stationery,VAT for consumption of _rate_stationery,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.02,0.15,,0,1.0,,,stop
_rate_stationery_curr_law,VAT for consumption of _rate_stationery_curr_law,VAT for consumption of _rate_stationery_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.02,0.15,,0,1.0,,,stop
_rate_tailoring_cleaning,VAT for consumption of _rate_tailoring_cleaning,VAT for consumption of _rate_tailoring_cleaning,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_tailoring_cleaning_curr_law,VAT for consumption of _rate_tailoring_cleaning_curr_law,VAT for consumption of _rate_tailoring_cleaning_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_tax,VAT for consumption of _rate_tax,VAT for consumption of _rate_tax,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_tax_curr_law,VAT for consumption of _rate_tax_curr_law,VAT for consumption of _rate_tax_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
_rate_telecom_equipment,VAT for consumption of _rate_telecom_equipment,VAT for consumption of _rate_telecom_equipment,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_telecom_equipment_curr_law,VAT for consumption of _rate_telecom_equipment_curr_law,VAT for consumption of _rate_telecom_equipment_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.05,0.15,,0,1.0,,,stop
_rate_telecom_services,VAT for consumption of _rate_telecom_services,VAT for consumption of _rate_telecom_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_telecom_services_curr_law,VAT for consumption of _rate_telecom_services_curr_law,VAT for consumption of _rate_telecom_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_transport,VAT for consumption of _rate_transport,VAT for consumption of _rate_transport,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.09,0.15,,0,1.0,,,stop
_rate_transport_curr_law,VAT for consumption of _rate_transport_curr_law,VAT for consumption of _rate_transport_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.09,0.15,,0,1.0,,,stop
_rate_transport_services,VAT for consumption of _rate_transport_services,VAT for consumption of _rate_transport_services,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_transport_services_curr_law,VAT for consumption of _rate_transport_services_curr_law,VAT for consumption of _rate_transport_services_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_travel,VAT for consumption of _rate_travel,VAT for consumption of _rate_travel,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_travel_curr_law,VAT for consumption of _rate_travel_curr_law,VAT for consumption of _rate_travel_curr_law,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.15,0.15,,0,1.0,,,stop
_rate_travel_religious,VAT for consumption of _rate_travel_religious,VAT for consumption of _rate_travel_religious,VAT Act,,AYEAR,2022,2022,False,False,,,False,False,0.0,0.15,,0,1.0,,,stop
